metric,unit,paper_result,reproduced_result,absolute_difference,relative_difference_pct,status,explanation
RF offline accuracy,%,99.77,99.8267,0.0567,0.06,PASS,Table V; paper text also states 99.82% (Sec III.D) -- ASSUMPTIONS.md #14
RF offline attack precision,%,99.8,99.84,0.04,0.04,PASS,Table V
RF offline recall,%,99.73,99.8133,0.0833,0.08,PASS,Table V
RF offline ROC-AUC,,0.9998,1.0,0.0002,0.02,PASS,Table V
RF offline FPR,%,0.2,0.16,-0.04,-20.0,INVESTIGATE,Table V (15/7500). Distinct from system-level FPR (Sec VI.B.7)
RF offline false positives (count),flows,15.0,12.0,-3.0,-20.0,INVESTIGATE,Table V
RF offline false negatives (count),flows,20.0,14.0,-6.0,-30.0,INVESTIGATE,Table V
Proposed CR,%,96.8,95.5725,-1.2275,-1.27,PASS,Table VIII / abstract (96.8%)
Proposed T_resp,s,2.3,2.4661,0.1661,7.22,PASS,"Table VIII (2.30s) -- MEASURED from per-flow timestamps, not hard-coded"
Proposed FPR (system-level),%,1.2,0.3835,-0.8165,-68.04,INVESTIGATE,"Table VIII (1.2%) -- system-level, != 0.20% offline (Sec VI.B.7)"
Proposed FCR,%,1.5,0.308,-1.192,-79.47,INVESTIGATE,Table VIII (1.5%)
Proposed NA,%,98.5,99.6506,1.1506,1.17,PASS,Table VIII (98.5%)
Traditional Firewall CR,%,72.0,63.4182,-8.5818,-11.92,INVESTIGATE,Table VIII -- baseline mechanism model (ASSUMPTIONS.md #17)
Traditional Firewall T_resp,s,45.0,47.1524,2.1524,4.78,INVESTIGATE,Table IV/VIII -- latency is a [PAPER] modelling assumption
Traditional Firewall FPR,%,12.0,12.0275,0.0275,0.23,PASS,Table VIII -- baseline mechanism model
Traditional Firewall FCR,%,10.0,12.0275,2.0275,20.27,INVESTIGATE,Table VIII -- baseline mechanism model
Traditional Firewall NA,%,88.0,83.2853,-4.7147,-5.36,INVESTIGATE,Table VIII -- baseline mechanism model
IDS/IPS CR,%,78.5,70.3989,-8.1011,-10.32,INVESTIGATE,Table VIII -- baseline mechanism model (ASSUMPTIONS.md #17)
IDS/IPS T_resp,s,30.0,31.437,1.437,4.79,INVESTIGATE,Table IV/VIII -- latency is a [PAPER] modelling assumption
IDS/IPS FPR,%,8.5,7.4605,-1.0395,-12.23,INVESTIGATE,Table VIII -- baseline mechanism model
IDS/IPS FCR,%,6.5,7.4605,0.9605,14.78,INVESTIGATE,Table VIII -- baseline mechanism model
IDS/IPS NA,%,91.0,88.8263,-2.1737,-2.39,INVESTIGATE,Table VIII -- baseline mechanism model
Static SDN CR,%,85.0,86.9329,1.9329,2.27,INVESTIGATE,Table VIII -- baseline mechanism model (ASSUMPTIONS.md #17)
Static SDN T_resp,s,15.0,15.7186,0.7186,4.79,INVESTIGATE,Table IV/VIII -- latency is a [PAPER] modelling assumption
Static SDN FPR,%,5.0,0.4095,-4.5905,-91.81,INVESTIGATE,Table VIII -- baseline mechanism model
Static SDN FCR,%,4.0,0.4095,-3.5905,-89.76,INVESTIGATE,Table VIII -- baseline mechanism model
Static SDN NA,%,94.0,98.5641,4.5641,4.86,INVESTIGATE,Table VIII -- baseline mechanism model
CR[http_flood],%,90.0,95.0833,5.0833,5.65,INVESTIGATE,Table VII
CR[icmp_flood],%,99.0,95.0667,-3.9333,-3.97,INVESTIGATE,Table VII
CR[mixed_ddos],%,94.0,95.1806,1.1806,1.26,PASS,Table VII
CR[slowloris],%,92.0,95.0104,3.0104,3.27,INVESTIGATE,Table VII
CR[syn_flood],%,98.0,95.2833,-2.7167,-2.77,INVESTIGATE,Table VII
CR[udp_flood],%,97.0,95.33,-1.67,-1.72,INVESTIGATE,Table VII
